"model","family","spatial","spatiotemporal","form","AIC","logLik","npar","hessian_pd","grad_max","converged_strict","n_warnings","warn_hessian","warn_nan","first_warning","DeltaAIC"
"NB2_spOFF_OFF_form.inter.cov.spline","NB2","off","off","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spOFF_AR1_form","NB2","off","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spOFF_AR1_form.er","NB2","off","ar1","form.er",NA,NA,NA,NA,NA,FALSE,15,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spOFF_AR1_form.er.cov","NB2","off","ar1","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spOFF_AR1_form.er.spline","NB2","off","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,4,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spOFF_AR1_form.er.cov.spline","NB2","off","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spOFF_AR1_form.inter.cov.spline","NB2","off","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spON_OFF_form","NB2","on","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spON_OFF_form.er.cov","NB2","on","off","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spON_OFF_form.inter.cov","NB2","on","off","form.inter.cov",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spON_OFF_form.er.spline","NB2","on","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,7,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spON_OFF_form.er.cov.spline","NB2","on","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spON_OFF_form.inter.cov.spline","NB2","on","off","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spON_AR1_form","NB2","on","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spON_AR1_form.er.cov","NB2","on","ar1","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spON_AR1_form.inter.cov","NB2","on","ar1","form.inter.cov",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spON_AR1_form.er.spline","NB2","on","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,5,FALSE,TRUE,"NA/NaN function evaluation",NA
"NB2_spON_AR1_form.er.cov.spline","NB2","on","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"NB2_spON_AR1_form.inter.cov.spline","NB2","on","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spOFF_OFF_form","Poisson","off","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spOFF_OFF_form.er.spline","Poisson","off","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,8,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spOFF_OFF_form.er.cov.spline","Poisson","off","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spOFF_AR1_form","Poisson","off","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spOFF_AR1_form.er","Poisson","off","ar1","form.er",NA,NA,NA,NA,NA,FALSE,18,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spOFF_AR1_form.er.spline","Poisson","off","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,5,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spOFF_AR1_form.er.cov.spline","Poisson","off","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spOFF_AR1_form.inter.cov.spline","Poisson","off","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,3,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spON_OFF_form","Poisson","on","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spON_OFF_form.inter.cov","Poisson","on","off","form.inter.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spON_OFF_form.er.spline","Poisson","on","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,8,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spON_OFF_form.er.cov.spline","Poisson","on","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spON_OFF_form.inter.cov.spline","Poisson","on","off","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spON_AR1_form","Poisson","on","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spON_AR1_form.inter.cov","Poisson","on","ar1","form.inter.cov",NA,NA,NA,NA,NA,FALSE,2,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spON_AR1_form.er.spline","Poisson","on","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,7,FALSE,TRUE,"NA/NaN function evaluation",NA
"Poisson_spON_AR1_form.er.cov.spline","Poisson","on","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA
"Poisson_spON_AR1_form.inter.cov.spline","Poisson","on","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,2,FALSE,TRUE,"NA/NaN function evaluation",NA
