"","term","estimate","std.error","conf.low","conf.high","model_index"
"1","ER_annual_percapita_z",-0.105475364154724,0.121777152830651,-0.344154197842629,0.133203469533182,2
"2","ER_annual_percapita_z:intervention2017",-0.195296064827165,0.154850960027177,-0.498798369451884,0.108206239797555,2
"3","ER_annual_percapita_z",-0.152502320933885,0.125140523340798,-0.397773239688344,0.0927685978205738,7
"4","ER_annual_percapita_z:intervention2017",-0.159285608149155,0.157327585542804,-0.467642009587694,0.149070793289385,7
"5","ER_annual_percapita_z",-0.103541139149784,0.125207610981278,-0.34894354726339,0.141861268963821,8
"6","ER_annual_percapita_z:intervention2017",-0.160152424660673,0.160560213329729,-0.474844660137009,0.154539810815663,8
"7","ER_annual_percapita_z",-0.186865206131481,0.129461786434119,-0.44060564491657,0.066875232653608,9
"8","ER_annual_percapita_z:intervention2017",-0.124895180848438,0.163779073694273,-0.445896266710545,0.196105905013669,9
"9","ER_annual_percapita_z",-0.210875830109943,0.135877301466894,-0.477190447301547,0.0554387870816616,10
"10","ER_annual_percapita_z:intervention2017",-0.0885186428577371,0.169820811333159,-0.421361316896101,0.244324031180627,10
"11","ER_annual_percapita_z",-0.146209027718694,0.127330958146329,-0.395773119802475,0.103355064365087,17
"12","ER_annual_percapita_z:intervention2017",-0.077747655169941,0.161442708901933,-0.394169550184314,0.238674239844432,17
"13","ER_annual_percapita_z",-0.219239222565438,0.128811380478551,-0.471704889102285,0.0332264439714082,18
"14","ER_annual_percapita_z:intervention2017",-0.0701858420334614,0.163658779322907,-0.390951155260147,0.250579471193224,18
"15","ER_annual_percapita_z",-0.200702391222394,0.136111351189605,-0.467475737441102,0.0660709549963144,19
"16","ER_annual_percapita_z:intervention2017",-0.0627834388169096,0.173404979344982,-0.402650953072986,0.277084075439167,19
"17","ER_annual_percapita_z",-0.167291378091671,0.130562024658098,-0.423188244170173,0.088605487986831,20
"18","ER_annual_percapita_z:intervention2017",-0.108752341120735,0.166436440428642,-0.434961770075919,0.21745708783445,20
"19","ER_annual_percapita_z",-0.248562032340102,0.144507008725532,-0.53179056495576,0.0346665002755555,21
"20","ER_annual_percapita_z:intervention2017",-0.0117792924950424,0.177940448437435,-0.360536162825322,0.336977577835237,21
"21","ER_annual_percapita_z",-0.274600236297801,0.142732994024308,-0.554351763991016,0.00515129139541443,22
"22","ER_annual_percapita_z:intervention2017",-0.0458469365792863,0.178355864074063,-0.395418006595972,0.303724133437399,22
"23","ER_annual_percapita_z",-0.187621714936162,0.130191807492118,-0.442792968702886,0.0675495388305613,27
"24","ER_annual_percapita_z:intervention2017",-0.0112392642897404,0.164646714234901,-0.333940894363005,0.311462365783525,27
"25","ER_annual_percapita_z",-0.239097345598667,NA,NA,NA,28
"26","ER_annual_percapita_z:intervention2017",0.0100242231802658,NA,NA,NA,28
"27","ER_annual_percapita_z",-0.283916434782989,0.142936006395952,-0.564065859413041,-0.00376701015293673,29
"28","ER_annual_percapita_z:intervention2017",0.0215227753288246,0.181284576290933,-0.333788465154007,0.376834015811656,29
"29","ER_annual_percapita_z",-0.300487084313646,0.149236106696511,-0.592984478631785,-0.00798968999550803,30
"30","ER_annual_percapita_z:intervention2017",0.0270705489134981,0.1809999075954,-0.327682751178563,0.381823849005559,30
"31","ER_annual_percapita_z",-0.307125413444363,0.148072534411863,-0.597342247991182,-0.016908578897545,32
"32","ER_annual_percapita_z:intervention2017",0.093587835088206,0.181324334030217,-0.26180132913173,0.448976999308142,32
"33","ER_annual_percapita_z",-0.209621945407332,0.0871318045300395,-0.380397144194193,-0.0388467466204703,34
"34","ER_annual_percapita_z",-0.20954947129503,0.0864855922358,-0.379058117258815,-0.0400408253312451,39
"35","ER_annual_percapita_z",-0.224086816015548,0.0877479528308707,-0.396069643281174,-0.0521039887499225,40
"36","ER_annual_percapita_z",-0.244898702067029,0.0891332204812837,-0.419596604036413,-0.070200800097645,41
"37","ER_annual_percapita_z",-0.209623201815945,0.08720446213109,-0.380540806884068,-0.0387055967478217,42
"38","ER_annual_percapita_z",-0.223712009593859,0.0863918652421516,-0.393036954025714,-0.0543870651620043,49
"39","ER_annual_percapita_z",-0.226955493818163,0.0882283277354317,-0.399879838595805,-0.0540311490405204,50
"40","ER_annual_percapita_z",-0.209549458641112,0.0864838306671367,-0.37905465199376,-0.0400442652884633,51
"41","ER_annual_percapita_z",-0.249039257995749,0.089315747736378,-0.424094906811315,-0.0739836091801834,52
"42","ER_annual_percapita_z",-0.224086600677312,0.0877487768754821,-0.396071043040698,-0.0521021583139258,53
"43","ER_annual_percapita_z",-0.244887051641742,0.0891401819727484,-0.419598597883675,-0.0701755053998084,54
"44","ER_annual_percapita_z",-0.224014844289157,0.0877547851954689,-0.396011062743325,-0.0520186258349897,59
"45","ER_annual_percapita_z",-0.223712035904012,0.0864353556099983,-0.393122219890521,-0.0543018519175032,60
"46","ER_annual_percapita_z",-0.227043097739841,0.0881484269947014,-0.399810839943314,-0.0542753555363679,61
"47","ER_annual_percapita_z",-0.249037085736657,NA,NA,NA,62
"48","ER_annual_percapita_z",-0.224014852969413,0.0877330307297972,-0.395968433454361,-0.0520612724844646,64
"49","ER_annual_percapita_z",-0.200933218716523,0.0867234562146714,-0.370908069512115,-0.0309583679209311,65
