"","term","estimate","std.error","conf.low","conf.high","model_index"
"1","(Intercept)",-9.06457704585914,0.369675877639639,-9.78912845198606,-8.34002563973221,1
"2","intervention2017",-0.0759054383018739,0.0601357226105467,-0.193769288802836,0.0419584121990885,1
"3","poverty_rate_z",-0.16874301125052,0.29199846745441,-0.741049491002055,0.403563468501016,1
"4","disability_rate_z",-0.0535546658466372,0.261747344835164,-0.566570034772544,0.45946070307927,1
"5","noinsurance_rate_z",-0.117997051112753,0.202508079849653,-0.514905594196434,0.278911491970928,1
"6","rural_factor3",-1.08771463202831,0.471201012912007,-2.01125164681464,-0.164177617241985,1
"7","rural_factor4",-0.517035133060233,0.428377951748829,-1.35664049025897,0.322570224138508,1
"8","rural_factor5",-1.01673405017576,0.487792507443572,-1.97278979669365,-0.0606783036578751,1
"9","rural_factor6",-1.0665805396905,0.589112349828301,-2.22121952820173,0.0880584488207288,1
"10","(Intercept)",-9.01864464482859,0.276273909507003,-9.5601315573304,-8.47715773232679,2
"11","ER_annual_percapita_z",-0.105475364154724,0.121777152830651,-0.344154197842629,0.133203469533182,2
"12","intervention2017",-0.103341467080808,0.0637859390686783,-0.228359610375484,0.0216766762138676,2
"13","poverty_rate_z",-0.169793466887484,0.217131126947261,-0.595362655626709,0.255775721851742,2
"14","disability_rate_z",-0.0477607491348002,0.241447886613437,-0.520989911040447,0.425468412770846,2
"15","noinsurance_rate_z",-0.103855288182897,0.196323550182184,-0.48864237585702,0.280931799491226,2
"16","rural_factor3",-1.25920703508553,0.449619790341734,-2.14044563089178,-0.377968439279284,2
"17","rural_factor4",-0.528940398824423,0.411588607283351,-1.33563924554679,0.277758447897945,2
"18","rural_factor5",-1.05744969042521,0.470315506559563,-1.97925114465267,-0.135648236197758,2
"19","rural_factor6",-0.985885985407143,0.523227943573625,-2.0113939105164,0.0396219397021181,2
"20","ER_annual_percapita_z:intervention2017",-0.195296064827165,0.154850960027177,-0.498798369451884,0.108206239797555,2
"21","(Intercept)",-9.03139855834165,0.260519675135508,-9.54200773887132,-8.52078937781198,3
"22","OXYCODONE_annual_percapita_z",-0.245095353812053,0.125045813271912,-0.490180644242521,-1.0063381585157e-05,3
"23","intervention2017",-0.244418397821106,0.110267429246202,-0.460538587811481,-0.0282982078307306,3
"24","poverty_rate_z",-0.27147688117948,0.1891339736469,-0.642172657780352,0.0992188954213925,3
"25","disability_rate_z",0.128135000425195,0.270923636082183,-0.402865568856521,0.65913556970691,3
"26","noinsurance_rate_z",-0.08814860905512,0.208287742661469,-0.496385083092747,0.320087864982507,3
"27","rural_factor3",-1.06318413100793,0.478330968333732,-2.00069560163221,-0.125672660383644,3
"28","rural_factor4",-0.413368336169524,0.439938033016187,-1.27563103631064,0.448894363971596,3
"29","rural_factor5",-0.86993881301686,0.504281996600104,-1.85831336440501,0.118435738371294,3
"30","rural_factor6",-1.11042333573783,0.533996771585681,-2.15703777590643,-0.0638088955692353,3
"31","OXYCODONE_annual_percapita_z:intervention2017",-0.0589306618627359,0.11577875585599,-0.285852853515332,0.16799152978986,3
"32","(Intercept)",-9.09561708735186,0.343688463622602,-9.76923409795406,-8.42200007674965,4
"33","BUPRENORPHINE_annual_percapita_z",0.467133951198504,0.208577089582425,0.0583303676167669,0.875937534780242,4
"34","intervention2017",-0.126703782873321,0.0734260130693226,-0.270616124017561,0.0172085582709186,4
"35","poverty_rate_z",-0.0530042895546173,0.284957662318301,-0.611511044817213,0.505502465707978,4
"36","disability_rate_z",-0.194498685010516,0.276529820888769,-0.736487174603816,0.347489804582784,4
"37","noinsurance_rate_z",-0.309011823841347,0.232512164541169,-0.764727292309489,0.146703644626796,4
"38","rural_factor3",-0.965234600104715,0.467333382276401,-1.88119119813975,-0.049278002069679,4
"39","rural_factor4",-0.579306464458619,0.431207270171515,-1.42445718386662,0.265844254949383,4
"40","rural_factor5",-0.873257635806571,0.490122133573125,-1.83387936563583,0.0873640940226843,4
"41","rural_factor6",-0.980632251405502,0.583262719175867,-2.1238061745151,0.162541671704097,4
"42","BUPRENORPHINE_annual_percapita_z:intervention2017",-0.2458053070417,0.118601151055728,-0.478259291635921,-0.0133513224474791,4
"43","(Intercept)",-9.00763354201969,NA,NA,NA,5
"44","METHADONE_annual_percapita_z",-0.140749915231647,NA,NA,NA,5
"45","intervention2017",-0.120847733062977,NA,NA,NA,5
"46","poverty_rate_z",-0.128229671394957,NA,NA,NA,5
"47","disability_rate_z",-0.0116049606229834,NA,NA,NA,5
"48","noinsurance_rate_z",-0.143821980995218,NA,NA,NA,5
"49","rural_factor3",-1.08313634488813,NA,NA,NA,5
"50","rural_factor4",-0.56720605701357,NA,NA,NA,5
"51","rural_factor5",-1.06578253190164,NA,NA,NA,5
"52","rural_factor6",-1.08189352104,NA,NA,NA,5
"53","METHADONE_annual_percapita_z:intervention2017",0.0595657566974805,NA,NA,NA,5
"54","(Intercept)",-9.02531387605879,0.276118013711231,-9.56649523841554,-8.48413251370204,6
"55","rural_factor3",-1.27925879621776,0.467942651102595,-2.19640953920904,-0.362108053226487,6
"56","rural_factor4",-0.628145633382589,0.432394769324072,-1.47562380836127,0.219332541596095,6
"57","rural_factor5",-1.03271559909422,0.501777366096949,-2.01618116490161,-0.0492500332868353,6
"58","rural_factor6",-1.28033994395465,0.603397532048728,-2.46297737513051,-0.0977025127787923,6
"59","intervention2017",-0.152518581959905,0.0731438272910331,-0.295877849141748,-0.00915931477806212,6
"60","poverty_rate_z",-0.171539044375099,0.217827018286311,-0.598472155076017,0.255394066325818,6
"61","disability_rate_z",-0.0421461965669774,0.246000491404894,-0.524298299899725,0.44000590676577,6
"62","noinsurance_rate_z",-0.115813204201147,0.201621054226857,-0.510983209010784,0.279356800608491,6
"63","rural_factor3:intervention2017",0.378710645649511,0.181079023176573,0.0238022818677336,0.733619009431288,6
"64","rural_factor4:intervention2017",0.226340812844309,0.188054646872676,-0.142239522151534,0.594921147840153,6
"65","rural_factor5:intervention2017",0.0220414366764728,0.276526333341089,-0.51994021744898,0.564023090801925,6
"66","rural_factor6:intervention2017",0.404955847710496,0.497191145129113,-0.569520890174792,1.37943258559578,6
"67","(Intercept)",-9.00160013408566,0.292705714201248,-9.57529279198918,-8.42790747618214,7
"68","ER_annual_percapita_z",-0.152502320933885,0.125140523340798,-0.397773239688344,0.0927685978205738,7
"69","OXYCODONE_annual_percapita_z",-0.249752213852447,0.126970145727651,-0.498609126590445,-0.000895301114448716,7
"70","intervention2017",-0.184877227697593,0.110651742135189,-0.401750657109177,0.0319962017139903,7
"71","poverty_rate_z",-0.257994482596117,0.230734034193122,-0.71022487962227,0.194235914430035,7
"72","disability_rate_z",0.0892230505386603,0.268330295604888,-0.436694664807907,0.615140765885227,7
