Year,State,StateCode,County,CountyCode,Deaths,Population,CrudeRate
2017,Alabama,01,"Chilton County, AL",01021,Suppressed,44067,Suppressed
2017,Alabama,01,"Choctaw County, AL",01023,0,12945,Unreliable
2017,Alabama,01,"Clarke County, AL",01025,0,24083,Unreliable
2017,Alabama,01,"Clay County, AL",01027,Suppressed,13367,Suppressed
2017,Alabama,01,"Cleburne County, AL",01029,Suppressed,14900,Suppressed
2017,Alabama,01,"Coffee County, AL",01031,Suppressed,51874,Suppressed
2017,Alabama,01,"Colbert County, AL",01033,0,54500,Unreliable
2017,Alabama,01,"Conecuh County, AL",01035,Suppressed,12469,Suppressed
2017,Alabama,01,"Coosa County, AL",01037,Suppressed,10754,Suppressed
2017,Alabama,01,"Covington County, AL",01039,Suppressed,37092,Suppressed
2017,Alabama,01,"Crenshaw County, AL",01041,Suppressed,13871,Suppressed
2017,Alabama,01,"Cullman County, AL",01043,11,82755,Unreliable
2017,Alabama,01,"Dale County, AL",01045,0,49226,Unreliable
2017,Alabama,01,"Dallas County, AL",01047,Suppressed,39215,Suppressed
2017,Alabama,01,"DeKalb County, AL",01049,11,71617,Unreliable
2017,Alabama,01,"Elmore County, AL",01051,Suppressed,81677,Suppressed
2017,Alabama,01,"Escambia County, AL",01053,Suppressed,37447,Suppressed
2017,Alabama,01,"Etowah County, AL",01055,27,102755,26.28
2017,Alabama,01,"Fayette County, AL",01057,Suppressed,16468,Suppressed
2017,Alabama,01,"Franklin County, AL",01059,0,31495,Unreliable
2017,Alabama,01,"Geneva County, AL",01061,Suppressed,26421,Suppressed
2017,Alabama,01,"Greene County, AL",01063,0,8330,Unreliable
2017,Alabama,01,"Hale County, AL",01065,Suppressed,14812,Suppressed
2017,Alabama,01,"Henry County, AL",01067,Suppressed,17147,Suppressed
2017,Alabama,01,"Houston County, AL",01069,Suppressed,104346,Suppressed
2017,Alabama,01,"Jackson County, AL",01071,Suppressed,51909,Suppressed
2017,Alabama,01,"Jefferson County, AL",01073,162,659197,24.58
2017,Alabama,01,"Lamar County, AL",01075,Suppressed,13946,Suppressed
2017,Alabama,01,"Lauderdale County, AL",01077,Suppressed,92538,Suppressed
2017,Alabama,01,"Lawrence County, AL",01079,Suppressed,33049,Suppressed
2017,Alabama,01,"Lee County, AL",01081,Suppressed,161604,Suppressed
2017,Alabama,01,"Limestone County, AL",01083,Suppressed,94402,Suppressed
2017,Alabama,01,"Lowndes County, AL",01085,0,10076,Unreliable
2017,Alabama,01,"Macon County, AL",01087,Suppressed,18755,Suppressed
2017,Alabama,01,"Madison County, AL",01089,20,361046,5.54
2017,Alabama,01,"Marengo County, AL",01091,0,19375,Unreliable
2017,Alabama,01,"Marion County, AL",01093,Suppressed,29833,Suppressed
2017,Alabama,01,"Marshall County, AL",01095,Suppressed,95548,Suppressed
2017,Alabama,01,"Mobile County, AL",01097,14,413955,Unreliable
2017,Alabama,01,"Monroe County, AL",01099,Suppressed,21327,Suppressed
2017,Alabama,01,"Montgomery County, AL",01101,Suppressed,226646,Suppressed
2017,Alabama,01,"Morgan County, AL",01103,Suppressed,118818,Suppressed
2017,Alabama,01,"Perry County, AL",01105,0,9339,Unreliable
2017,Alabama,01,"Pickens County, AL",01107,0,20176,Unreliable
2017,Alabama,01,"Pike County, AL",01109,0,33267,Unreliable
2017,Alabama,01,"Randolph County, AL",01111,Suppressed,22670,Suppressed
2017,Alabama,01,"Russell County, AL",01113,Suppressed,57045,Suppressed
2017,Alabama,01,"St. Clair County, AL",01115,15,88199,Unreliable
2017,Alabama,01,"Shelby County, AL",01117,27,213605,12.64
2017,Alabama,01,"Sumter County, AL",01119,0,12687,Unreliable
2017,Alabama,01,"Talladega County, AL",01121,Suppressed,80065,Suppressed
2017,Alabama,01,"Tallapoosa County, AL",01123,0,40681,Unreliable
2017,Alabama,01,"Tuscaloosa County, AL",01125,14,207811,Unreliable
2017,Alabama,01,"Walker County, AL",01127,Suppressed,64058,Suppressed
2017,Alabama,01,"Washington County, AL",01129,Suppressed,16531,Suppressed
2017,Alabama,01,"Wilcox County, AL",01131,0,10719,Unreliable
2017,Alabama,01,"Winston County, AL",01133,0,23722,Unreliable
2018,Alabama,01,"Autauga County, AL",01001,Suppressed,55601,Suppressed
2018,Alabama,01,"Baldwin County, AL",01003,14,218022,Unreliable
2018,Alabama,01,"Barbour County, AL",01005,0,24881,Unreliable
2018,Alabama,01,"Bibb County, AL",01007,0,22400,Unreliable
2018,Alabama,01,"Blount County, AL",01009,Suppressed,57840,Suppressed
2018,Alabama,01,"Bullock County, AL",01011,0,10138,Unreliable
2018,Alabama,01,"Butler County, AL",01013,0,19680,Unreliable
2018,Alabama,01,"Calhoun County, AL",01015,Suppressed,114277,Suppressed
2018,Alabama,01,"Chambers County, AL",01017,0,33615,Unreliable
2018,Alabama,01,"Cherokee County, AL",01019,0,26032,Unreliable
2018,Alabama,01,"Chilton County, AL",01021,Suppressed,44153,Suppressed
2018,Alabama,01,"Choctaw County, AL",01023,0,12841,Unreliable
2018,Alabama,01,"Clarke County, AL",01025,Suppressed,23920,Suppressed
2018,Alabama,01,"Clay County, AL",01027,0,13275,Unreliable
2018,Alabama,01,"Cleburne County, AL",01029,0,14987,Unreliable
2018,Alabama,01,"Coffee County, AL",01031,Suppressed,51909,Suppressed
2018,Alabama,01,"Colbert County, AL",01033,0,54762,Unreliable
2018,Alabama,01,"Conecuh County, AL",01035,0,12277,Unreliable
2018,Alabama,01,"Coosa County, AL",01037,Suppressed,10715,Suppressed
2018,Alabama,01,"Covington County, AL",01039,Suppressed,36986,Suppressed
2018,Alabama,01,"Crenshaw County, AL",01041,0,13824,Unreliable
2018,Alabama,01,"Cullman County, AL",01043,11,83442,Unreliable
2018,Alabama,01,"Dale County, AL",01045,Suppressed,48956,Suppressed
2018,Alabama,01,"Dallas County, AL",01047,Suppressed,38310,Suppressed
2018,Alabama,01,"DeKalb County, AL",01049,Suppressed,71385,Suppressed
2018,Alabama,01,"Elmore County, AL",01051,Suppressed,81887,Suppressed
2018,Alabama,01,"Escambia County, AL",01053,Suppressed,36748,Suppressed
2018,Alabama,01,"Etowah County, AL",01055,15,102501,Unreliable
2018,Alabama,01,"Fayette County, AL",01057,Suppressed,16433,Suppressed
2018,Alabama,01,"Franklin County, AL",01059,0,31363,Unreliable
2018,Alabama,01,"Geneva County, AL",01061,Suppressed,26314,Suppressed
2018,Alabama,01,"Greene County, AL",01063,0,8233,Unreliable
2018,Alabama,01,"Hale County, AL",01065,Suppressed,14726,Suppressed
2018,Alabama,01,"Henry County, AL",01067,0,17209,Unreliable
2018,Alabama,01,"Houston County, AL",01069,Suppressed,104722,Suppressed
2018,Alabama,01,"Jackson County, AL",01071,Suppressed,51736,Suppressed
2018,Alabama,01,"Jefferson County, AL",01073,140,659300,21.23
2018,Alabama,01,"Lamar County, AL",01075,0,13844,Unreliable
2018,Alabama,01,"Lauderdale County, AL",01077,Suppressed,92387,Suppressed
2018,Alabama,01,"Lawrence County, AL",01079,Suppressed,32957,Suppressed
2018,Alabama,01,"Lee County, AL",01081,Suppressed,163941,Suppressed
2018,Alabama,01,"Limestone County, AL",01083,Suppressed,96174,Suppressed
2018,Alabama,01,"Lowndes County, AL",01085,0,9974,Unreliable
2018,Alabama,01,"Macon County, AL",01087,0,18439,Unreliable
2018,Alabama,01,"Madison County, AL",01089,12,366519,Unreliable
2018,Alabama,01,"Marengo County, AL",01091,0,19066,Unreliable
2018,Alabama,01,"Marion County, AL",01093,0,29763,Unreliable
2018,Alabama,01,"Marshall County, AL",01095,Suppressed,96109,Suppressed
2018,Alabama,01,"Mobile County, AL",01097,33,413757,7.98
2018,Alabama,01,"Monroe County, AL",01099,0,21067,Unreliable
2018,Alabama,01,"Montgomery County, AL",01101,Suppressed,225763,Suppressed
2018,Alabama,01,"Morgan County, AL",01103,15,119089,Unreliable
2018,Alabama,01,"Perry County, AL",01105,0,9140,Unreliable
2018,Alabama,01,"Pickens County, AL",01107,0,19938,Unreliable
2018,Alabama,01,"Pike County, AL",01109,0,33338,Unreliable
2018,Alabama,01,"Randolph County, AL",01111,0,22725,Unreliable
2018,Alabama,01,"Russell County, AL",01113,Suppressed,57781,Suppressed
2018,Alabama,01,"St. Clair County, AL",01115,17,88690,Unreliable
2018,Alabama,01,"Shelby County, AL",01117,24,215707,11.13
2018,Alabama,01,"Sumter County, AL",01119,0,12691,Unreliable
2018,Alabama,01,"Talladega County, AL",01121,Suppressed,79828,Suppressed
2018,Alabama,01,"Tallapoosa County, AL",01123,Suppressed,40497,Suppressed
2018,Alabama,01,"Tuscaloosa County, AL",01125,12,208911,Unreliable
2018,Alabama,01,"Walker County, AL",01127,Suppressed,63711,Suppressed
2018,Alabama,01,"Washington County, AL",01129,Suppressed,16378,Suppressed
2018,Alabama,01,"Wilcox County, AL",01131,0,10627,Unreliable
2018,Alabama,01,"Winston County, AL",01133,Suppressed,23660,Suppressed
2019,Alabama,01,"Autauga County, AL",01001,Suppressed,55869,Suppressed
2019,Alabama,01,"Baldwin County, AL",01003,18,223234,Unreliable
2019,Alabama,01,"Barbour County, AL",01005,0,24686,Unreliable
2019,Alabama,01,"Bibb County, AL",01007,Suppressed,22394,Suppressed
2019,Alabama,01,"Blount County, AL",01009,Suppressed,57826,Suppressed
2019,Alabama,01,"Bullock County, AL",01011,Suppressed,10101,Suppressed
