"","county","total","avg_percapita"
"1","Blount",86569143.18,1.02630120400188
"2","Cherokee",57963351.942,1.52720202558357
"3","Colbert",223972435.53,2.79230759696116
"4","Cullman",268220634.43392,2.20679902523848
"5","Etowah",628093839.7215,4.18763295712501
"6","Fayette",10891962.24,0.454454246542927
"7","Franklin",145895168.772,3.17642391669524
"8","Jackson",51322095.84,0.678793715170554
"9","Jefferson",2832763702.78341,2.94023972419959
"10","Lamar",23932045.44,1.1819409416671
"11","Lauderdale",194257536.87,1.43606269919286
"12","Lawrence",51415054.17789,1.06593241464347
"13","Limestone",425278708.6341,3.04112475501866
"14","Madison",899733743.973,1.68643917683434
"15","Marion",268120030.73181,6.16143117214708
"16","Marshall",588024544.035,4.19050397199308
"17","Morgan",617182124.52,3.54272820836216
"18","Pickens",11921715.69,0.406670992341235
"19","Shelby",642820439.7792,2.04936385537453
"20","Tuscaloosa",211026593.17578,0.693850714287998
"21","Walker",534393849.8658,5.73090658450397
"22","Winston",160311396.45,4.62445456120102
