"","County","year","pop_year","ER_annual","OXYCODONE_annual","HYDROCODONE_annual","BUPRENORPHINE_annual","METHADONE_annual","presence","ER_annual_percapita","ER_annual_per100k","OXYCODONE_annual_percapita","OXYCODONE_annual_per100k","HYDROCODONE_annual_percapita","HYDROCODONE_annual_per100k","BUPRENORPHINE_annual_percapita","BUPRENORPHINE_annual_per100k","METHADONE_annual_percapita","METHADONE_annual_per100k","State","StateCode","CountyCode","Deaths","pop_CDC","CrudeRate","deaths_per100k","state","county","full_fips","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed","gini_index_of_income_inequality_gini_index","median_household_income_in_the_past_12_months_in_2021_inflation_adjusted_dollars_median_household_income_in_the_past_12_months_in_2021_inflationadjusted_dollars","place_of_birth_by_educational_attainment_in_the_united_states_total_high_school_graduate_includes_equivalency","poverty_status_in_the_past_12_months_by_sex_by_age_total","poverty_status_in_the_past_12_months_by_sex_by_age_total_income_in_the_past_12_months_below_poverty_level","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total_with_own_children_of_the_householder_under_18_years_under_6_years_only","sex_by_age_by_disability_status_total_female_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_female_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_female_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_female_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_female_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_female_under_5_years_with_a_disability","sex_by_age_by_disability_status_total_male_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_male_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_male_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_male_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_male_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_male_under_5_years","sex_by_age_total","sex_by_age_total_female","sex_by_age_total_male","total_population_total","types_of_health_insurance_coverage_by_age_total_19_to_34_years_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_65_years_and_over_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_under_19_years_no_health_insurance_coverage"
"32","JACKSON",2019,51626,12,16860470.40681,11804057.13631,15515367.9,660031.424,1,0.000232441018091659,23.2441018091659,326.588742238601,32658874.2238601,228.645588198001,22864558.8198001,300.533992561887,30053399.2561887,12.7848646805873,1278486.46805873,"Alabama","01","01071",1,51626,NA,NA,"01","071","01071",21453,1101,0.4516,41769,15177,51312,9536,14941,1299,297,2241,125,970,1169,14,618,2381,282,958,817,1529,51852,26471,25381,51852,2065,23,160
"33","JEFFERSON",2016,660343,567,210082442.95875,147753143.148263,658068394.159,52742862.8064,1,0.000858644674055756,85.8644674055756,318.141394636954,31814139.4636954,223.752115413146,22375211.5413146,996.555417652644,99655541.7652644,79.8719193001213,7987191.93001213,"Alabama","01","01073",166,659521,25.17,25.169782311708,"01","073","01073",326101,21107,0.5009,53901,118636,645406,103417,202022,17539,5310,23892,2391,9226,14100,129,5678,19802,4260,8339,7406,21618,659680,347647,312033,659680,24507,381,5804
"34","JEFFERSON",2017,659599,544,182930567.751592,130475788.648584,666918661.421,43742898.4096,1,0.000824743518410428,82.4743518410428,277.336029544606,27733602.9544606,197.810773892295,19781077.3892295,1011.09713844472,101109713.844472,66.3174116540504,6631741.16540504,"Alabama","01","01073",162,659197,24.58,24.5753545601694,"01","073","01073",326101,21107,0.5009,53901,118636,645406,103417,202022,17539,5310,23892,2391,9226,14100,129,5678,19802,4260,8339,7406,21618,659680,347647,312033,659680,24507,381,5804
"35","JEFFERSON",2018,659429,583,158459671.15195,114637166.543566,721679977.127,33469538.2736,1,0.000884098212241197,88.4098212241197,240.298305279189,24029830.5279189,173.843077182784,17384307.7182784,1094.40133377058,109440133.377058,50.7553326796365,5075533.26796365,"Alabama","01","01073",140,659300,21.23,21.2346428029729,"01","073","01073",326101,21107,0.5009,53901,118636,645406,103417,202022,17539,5310,23892,2391,9226,14100,129,5678,19802,4260,8339,7406,21618,659680,347647,312033,659680,24507,381,5804
"36","JEFFERSON",2019,658573,565,137034875.56485,101339145.30156,786096670.077,24959287.392,1,0.000857915523411983,85.7915523411983,208.078490258255,20807849.0258255,153.876859970816,15387685.9970816,1193.63634718854,119363634.718854,37.8990444369872,3789904.44369872,"Alabama","01","01073",143,658573,21.71,21.7136141323741,"01","073","01073",326101,21107,0.5009,53901,118636,645406,103417,202022,17539,5310,23892,2391,9226,14100,129,5678,19802,4260,8339,7406,21618,659680,347647,312033,659680,24507,381,5804
"37","LAMAR",2016,13928,4,3239793.04988,2636709.2571,3480452.4,1625232.128,1,0.000287191269385411,28.7191269385411,232.610069635267,23261006.9635267,189.309969636703,18930996.9636703,249.888885697875,24988888.5697875,116.688119471568,11668811.9471568,"Alabama","01","01075",0,13918,NA,0,"01","075","01075",5753,509,0.472,38364,3912,13692,2827,3775,234,230,596,78,338,500,0,146,542,168,262,278,396,13885,7102,6783,13885,511,5,432
"38","LAMAR",2017,13882,5,3324496.57725,2261661.9975,4652200.8,1466816,1,0.00036017864860971,36.017864860971,239.482536900303,23948253.6900303,162.920472374298,16292047.2374298,335.124679441003,33512467.9441003,105.66316092782,10566316.092782,"Alabama","01","01075",1,13946,NA,NA,"01","075","01075",5753,509,0.472,38364,3912,13692,2827,3775,234,230,596,78,338,500,0,146,542,168,262,278,396,13885,7102,6783,13885,511,5,432
"39","LAMAR",2018,13882,16,2835696.27,2010158.046875,6636957.24,1543734.4,1,0.00115257167555107,115.257167555107,204.271450079239,20427145.0079239,144.803201763074,14480320.1763074,478.098057916727,47809805.7916727,111.204034000864,11120403.4000864,"Alabama","01","01075",0,13844,NA,0,"01","075","01075",5753,509,0.472,38364,3912,13692,2827,3775,234,230,596,78,338,500,0,146,542,168,262,278,396,13885,7102,6783,13885,511,5,432
"40","LAMAR",2019,13805,8,2689291.10063,1757553.021086,9162435,1556399.104,1,0.000579500181093807,57.9500181093807,194.805584978631,19480558.4978631,127.312786750163,12731278.6750163,663.704092720029,66370409.2720029,112.74169532778,11274169.532778,"Alabama","01","01075",0,13805,NA,0,"01","075","01075",5753,509,0.472,38364,3912,13692,2827,3775,234,230,596,78,338,500,0,146,542,168,262,278,396,13885,7102,6783,13885,511,5,432
"41","LAUDERDALE",2016,92425,28,24175704.93291,20190575.42211,45168413.31,4267969.472,1,0.000302948336489045,30.2948336489045,261.571056888396,26157105.6888396,218.453615603029,21845361.5603029,488.703416932648,48870341.6932648,46.1776518474439,4617765.18474439,"Alabama","01","01077",1,92318,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
