,term,estimate,std.error,conf.low,conf.high,model_index,,Formula
24,ER_annual_percapita_z:intervention2017,-0.011239264,0.164646714,-0.333940894,0.311462366,27,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
25,ER_annual_percapita_z,-0.239097346,NA,NA,NA,28,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
26,ER_annual_percapita_z:intervention2017,0.010024223,NA,NA,NA,28,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
27,ER_annual_percapita_z,-0.283916435,0.142936006,-0.564065859,-0.00376701,29,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
28,ER_annual_percapita_z:intervention2017,0.021522775,0.181284576,-0.333788465,0.376834016,29,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
29,ER_annual_percapita_z,-0.300487084,0.149236107,-0.592984479,-0.00798969,30,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
30,ER_annual_percapita_z:intervention2017,0.027070549,0.180999908,-0.327682751,0.381823849,30,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
31,ER_annual_percapita_z,-0.307125413,0.148072534,-0.597342248,-0.016908579,32,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
32,ER_annual_percapita_z:intervention2017,0.093587835,0.181324334,-0.261801329,0.448976999,32,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
33,ER_annual_percapita_z,-0.209621945,0.087131805,-0.380397144,-0.038846747,34,,Deaths ~ (ER_annual_percapita_z) + intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
34,ER_annual_percapita_z,-0.209549471,0.086485592,-0.379058117,-0.040040825,39,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z) +      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
35,ER_annual_percapita_z,-0.224086816,0.087747953,-0.396069643,-0.052103989,40,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z) +      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
